DataSet,Feature,Mean,StdDev,Median,Min,Max,Range,Skew
User,fans,2.85,24.89,0,0,1298,1298,31.52
User,average_stars,3.73,0.84,3.82,0,5,5,-1.1
User,count,52.34,150.64,10,1,4573,4572,10.14
User,friends,8.68,58.35,1,0,2103,2103,21.16
User,compliments,42.95,717.46,0,0,41514,41514,42.41
User,votes,219.55,2029.48,11,0,86200,86200,29.7
User,yelping_days,1597.54,725.34,1522,365,4109,3744,0.49
Review,votes_cool,0.4,1.06,0,0,29,29,6.65
Review,votes_funny,0.28,0.91,0,0,25,25,7.5
Review,votes_useful,0.89,1.63,0,0,48,48,5.49
Review,date_days,1130.79,623.64,990,358,3884,3526,0.99
Review,stars,3.75,1.2,4,1,5,4,-0.8
Restaurant,count,43,65.06,18,3,695,692,4.08
Restaurant,stars,3.57,0.7,3.5,1,5,4,-0.67
